Categorie_Majeure;Sous_Categorie;Message_Utilisateur;Niveau_Urgence
Logement et Installation;Location meublée;Affectation surprise sur Montpellier dans 2 semaines, recherche studio meublé proche base militaire pour 6 mois minimum;Court terme
Véhicule;Achat véhicule;Suite à mon arrivée à Clermont-Ferrand, je cherche une voiture économique pour trajets quotidiens vers la caserne;Standard
Famille;Scolarité;Installation à Angers prévue en janvier, besoin d'informations sur les collèges publics pour mes deux filles de 13 et 15 ans;Planifié
Banque et financement;Crédit consommation;Je veux acheter du mobilier pour mon nouvel appartement à Nancy, recherche un crédit avec taux préférentiel militaire;Standard
Besoins de dernière minute;Garde d'enfant;Convocation inattendue demain toute la journée à Versailles, besoin d'une nounou pour mes jumeaux de 4 ans en urgence;Immédiat
Administratif;Permis de conduire;J'ai perdu mon permis à Grenoble et je dois le refaire rapidement pour mes déplacements professionnels quotidiens;Court terme
Santé;Médecin généraliste;Nouvelle installation à Perpignan, recherche un médecin traitant disponible rapidement pour suivi régulier et renouvellement ordonnances;Standard
Emploi;Formation conjoint;Ma conjointe souhaite se former aux métiers du numérique suite à notre mutation à Strasbourg, recherche organismes de formation;Planifié
Logement et Installation;Aménagement;Emménagement à Orléans la semaine prochaine, besoin d'aide pour montage meubles et petits travaux d'installation;Court terme
Besoins de dernière minute;Serrurier;Porte claquée avec clés à l'intérieur à Dijon, je dois partir en déplacement ce soir, intervention urgente nécessaire;Immédiat
Assurance;Responsabilité civile;Suite à des dégâts causés par mes enfants chez le voisin à Caen, besoin conseil assurance pour couvrir ce type de situations;Standard
Travaux;Chauffage;Mon système de chauffage ne fonctionne plus à Rouen en plein hiver, besoin intervention rapide d'un chauffagiste qualifié;Immédiat
Formation;Certification professionnelle;Dans 8 mois je quitte l'armée à Poitiers, je veux obtenir une certification en gestion de projet pour ma reconversion;Planifié
Soutien psychologique;Thérapie de couple;Tensions conjugales dues aux mutations répétées, besoin thérapeute spécialisé couples militaires sur Avignon;Standard
Véhicule;Assurance auto;Je viens d'acheter un véhicule à Amiens, recherche assurance tous risques avec garantie déplacement professionnel;Court terme
Retraite;Calcul droits;Je pars en retraite dans 2 ans à Limoges, besoin accompagnement pour calculer mes droits et optimiser ma pension;Planifié
Logement et Installation;Garde-meuble;Départ en formation longue durée de 6 mois depuis Le Havre, besoin stocker mes affaires en sécurité à prix raisonnable;Court terme
Famille;Mode de garde partagé;Recherche famille militaire pour garde partagée d'enfants sur Belfort, nos horaires décalés compliquent l'organisation;Standard
Banque et financement;Découvert bancaire;Situation financière tendue suite à frais de mutation à Valence, besoin augmenter mon autorisation de découvert temporairement;Immédiat
Administratif;Déclaration impôts;Première déclaration après mutation à Besançon, situation complexe avec revenus multiples, besoin aide d'un expert comptable;Standard
Besoins de dernière minute;Vétérinaire;Mon chien s'est blessé gravement à Ajaccio, besoin consultation vétérinaire d'urgence disponible ce soir;Immédiat
Santé;Orthodontie;Mon fils de 14 ans à Mulhouse a besoin d'un appareil dentaire, recherche orthodontiste acceptant nouveaux patients rapidement;Standard
Emploi;Reconversion militaire;Après 20 ans de service, je souhaite devenir pompier professionnel à Tours, besoin infos sur passerelles et démarches;Planifié
Véhicule;Expertise accident;Accident responsable hier à Chambéry, besoin expert automobile pour constater dégâts et gérer dossier assurance;Court terme
Assurance;Assurance emprunteur;Rachat crédit immobilier en cours à La Rochelle, ma banque impose nouvelle assurance emprunteur trop chère, cherche alternative;Standard
Logement et Installation;Bail meublé;Besoin relecture contrat location meublée à Troyes avant signature, clauses mobilité semblent floues, conseil juridique souhaité;Court terme
Travaux;Peinture intérieure;Logement de fonction à Angoulême nécessite rafraîchissement avant notre arrivée prévue dans 3 semaines;Planifié
Formation;Habilitation électrique;Pour mes nouvelles fonctions à Niort, je dois passer mes habilitations électriques B2V BR BC, recherche centre agréé;Court terme
Famille;Soutien scolaire;Mon fils décroche scolairement depuis nos 3 mutations en 2 ans, besoin professeur particulier patient à Vannes pour math et français;Standard
Épargne;Assurance-vie;Je souhaite ouvrir une assurance-vie à Pau pour épargner en vue de la retraite, besoin conseils sur meilleurs contrats militaires;Standard
Administratif;Carte Vitale;Ma carte vitale est illisible suite à mutation à Saint-Étienne, besoin remplacement rapide avant mes RDV médicaux de la semaine;Court terme
Soutien psychologique;Traumatisme SSPT;Symptômes post-traumatiques suite à dernière opex, besoin psychologue formé EMDR sur région de Bayonne;Standard
Besoins de dernière minute;Traiteur;Réception imprévue pour délégation étrangère après-demain à Metz, besoin traiteur pour 30 personnes, buffet protocolaire;Immédiat
Logement et Installation;Diagnostic immobilier;Vente de mon appartement à Dunkerque avant mutation, besoin diagnostics obligatoires (DPE, amiante, plomb) rapidement;Court terme
Véhicule;Révision technique;Ma voiture a 15000 km à Béziers, besoin révision complète avant long trajet vacances prévu dans 10 jours;Standard
Banque et financement;Épargne salariale;Question sur déblocage anticipé épargne salariale à Lorient pour financer travaux résidence principale suite mutation;Standard
Santé;Allergologue;Allergies respiratoires importantes depuis arrivée à Épinal, besoin bilan allergologique complet et traitement adapté;Standard
Emploi;CV et lettre motivation;Préparation candidatures emploi civil à Nîmes pour fin de contrat dans 4 mois, besoin aide professionnelle rédaction dossiers;Planifié
Famille;Activités enfants;Recherche centre aéré et activités mercredi pour mes 3 enfants suite arrivée à Charleville-Mézières il y a 2 semaines;Standard
Retraite;Maison de retraite;Ma mère de 82 ans nécessite hébergement médicalisé proche de mon domicile à Colmar, recherche EHPAD avec places disponibles;Standard
Assurance;Garantie accident vie;Départ en mission à risque depuis Tarbes dans 6 semaines, besoin renforcer mes garanties décès et invalidité pour ma famille;Court terme
Travaux;Toiture;Infiltrations d'eau constatées dans maison à Bourges après fortes pluies, besoin couvreur pour diagnostic et devis réparations;Standard
Administratif;Naturalisation conjoint;Mon épouse étrangère souhaite demander la nationalité française à Pau après 5 ans de mariage, besoin aide constitution dossier;Planifié
Véhicule;Dépannage remorquage;Panne mécanique sur autoroute près d'Auxerre, voiture immobilisée, besoin dépanneuse pour ramener véhicule au garage;Immédiat
Formation;Sécurité incendie;Besoin de recycler mon SSIAP 1 à Cherbourg avant expiration dans 2 mois pour maintenir mes qualifications;Court terme
Logement et Installation;Emménagement assisté;Personne seule avec mobilité réduite suite accident, mutation sur Laval, besoin aide complète pour emménagement et installation;Planifié
Besoins de dernière minute;Informatique;Mon ordinateur portable a planté à Évry avec tous mes dossiers de travail, intervention informatique urgente avant présentation demain;Immédiat
Santé;Podologue;Douleurs plantaires importantes à Blois dues aux marches quotidiennes, besoin semelles orthopédiques sur mesure rapidement;Standard
Famille;Périscolaire;Inscription cantine et garderie pour septembre à Quimper, démarches compliquées, besoin aide pour constitution dossier complet;Planifié
Véhicule;Pneumatiques;Mes pneus sont usés à Lens, contrôle technique refuse ma voiture, besoin changement 4 pneus rapidement à prix raisonnable;Court terme
Banque et financement;Rachat assurance prêt;Mon assurance emprunteur actuelle à Carcassonne est trop coûteuse, recherche délégation assurance pour économiser sur mensualités;Standard
