besoin_id;prestataire_id;pertinence;commentaire
0;0;1;Babychou Services - Garde enfants urgente
0;15;1;Crèche Les Petits Soldats - Garde enfants
0;28;0;Animacoeur Pension - Pas pour enfants
1;23;1;Foncia Logement Défense - Location meublée
1;18;1;Century 21 Mobilité Militaire - Logement
1;8;1;Les Déménageurs Bretons - Services logement
2;19;0;Garage Rapid'Auto - Lille pas Bourges
2;14;0;Autocaz Location - Paris pas Bourges
2;44;0;Garage Éco Performance - Lille pas Bourges
3;12;0;Académia Soutien Scolaire - Paris pas Toulon
3;15;0;Crèche Les Petits Soldats - Bordeaux pas Toulon
3;0;0;Babychou Services - Paris pas Toulon
4;1;0;Crédit Social des Fonctionnaires - Paris pas Marseille
4;18;1;Century 21 Mobilité Militaire - Marseille OK
4;46;0;Courtier Finance & Militaires - Lyon pas Marseille
5;5;0;SOS Plombier 24h - Plombier pas électroménager Paris
5;20;0;Électricien Pro Urgence - Lyon pas Paris
5;0;0;Babychou Services - Pas électroménager
6;6;1;ANTS Express - Carte grise en ligne OK
6;28;0;CAF Conseil Droits Sociaux - Paris pas Lille
6;19;0;Garage Rapid'Auto - Pas pour carte grise seule
7;4;0;AGPM - Lyon pas Bordeaux
7;16;1;GAN Prévoyance Fonctionnaires - Bordeaux OK
7;41;1;Harmonie Mutuelle Défense - Bordeaux OK
8;17;1;Interim Défense Services - Emploi conjoint
8;3;1;Défense Mobilité - Recherche emploi
8;25;0;Pôle Emploi Défense Mobilité - Plutôt pour reconversion
9;2;1;Demeco - Déménagement Marseille OK
9;7;0;Les Déménageurs Bretons - Brest pas Marseille
9;23;0;Foncia Logement Défense - Lyon pas Marseille
10;6;1;ANTS Express - Documents urgents transport
10;9;0;France Services - Pas transport express
10;19;0;Garage Rapid'Auto - Pas transport documents
11;5;1;Unéo - Assurance habitation mobilité
11;26;1;Allianz Fonctionnaire - Assurance habitation
11;23;0;Foncia Logement Défense - Gestion pas assurance
12;20;1;Électricien Pro Urgence - Lyon OK
12;34;0;La Maison des Travaux - Marseille pas Lyon
12;10;0;SOS Plombier 24h - Paris pas Lyon
13;3;1;Défense Mobilité - Reconversion cybersécurité
13;30;1;Centre Formation Cyber Défense - Formation cyber
13;25;1;Pôle Emploi Défense Mobilité - Reconversion
14;13;1;Psychologue Marine Dubois - Soutien famille militaire
14;0;0;Babychou Services - Pas psychologie
14;3;0;Défense Mobilité - Pas soutien psychologique
15;19;0;Garage Rapid'Auto - Lille pas Bordeaux
15;14;0;Autocaz Location - Paris pas Bordeaux
15;42;0;Garage Éco Performance - Lille pas Bordeaux
16;3;0;Défense Mobilité - Paris pas Nice
16;38;1;Notaire Conseil Patrimoine - Nice OK
16;25;0;Pôle Emploi Défense Mobilité - Paris pas Nice
17;24;1;Self Stockage Securis - Toulon OK
17;7;0;Les Déménageurs Bretons - Brest pas Toulon
17;2;0;Demeco - Marseille pas Toulon
18;11;1;Académia Soutien Scolaire - Paris OK
18;15;0;Crèche Les Petits Soldats - Bordeaux pas Paris
18;0;0;Babychou Services - Paris mais pas soutien scolaire
19;46;1;Courtier Finance & Militaires - Lyon OK
19;1;0;Crédit Social des Fonctionnaires - Paris pas Lyon
19;12;1;Crédit Mutuel Armées - Lyon OK
20;6;1;ANTS Express - Titre séjour
20;9;1;France Services - Démarches administratives
20;40;0;CAF Conseil Droits Sociaux - Pas titre séjour
21;10;1;SOS Plombier 24h - Fuite urgente
21;5;0;Unéo - Assurance pas plomberie
21;20;0;Électricien Pro Urgence - Pas plomberie
