Nom_Entreprise;Domaines_Expertise;Disponibilite;Description_Service;Ville
Babychou Services;Garde d'enfants, Urgence, Famille;24/7;Garde d'enfants à domicile avec intervention sous 2h. Agrément Défense. Personnel formé aux contraintes militaires et aux horaires décalés;Paris
Crédit Social des Fonctionnaires;Banque, Prêts fonctionnaires, Financement;Semaine uniquement;Établissement bancaire spécialisé dans le prêt aux fonctionnaires et militaires. Taux préférentiels et compréhension des spécificités de carrière;Paris
Demeco;Déménagement, Logement, Installation;Sur rendez-vous;Déménageur agréé Défense spécialisé dans les mutations militaires. Protection renforcée des biens et respect des délais stricts;Marseille
Défense Mobilité;Emploi, Reconversion, Formation;Semaine uniquement;Service public d'accompagnement à la reconversion professionnelle des militaires. Bilan de compétences, formations et mise en relation employeurs;Paris
AGPM;Assurance, Prévoyance, Santé;Semaine uniquement;Mutuelle dédiée aux militaires et leur famille. Couverture adaptée aux missions et risques professionnels. Excellents avis sur la réactivité;Lyon
Unéo;Assurance, Habitation, Auto;Semaine uniquement;Assureur spécialisé dans la fonction publique avec offres mobilité. Clause spéciale mutation et résiliation facilitée;Rennes
France Services;Administratif, Aide démarches;Semaine uniquement;Guichet unique pour toutes démarches administratives. Accompagnement personnalisé pour carte grise, passeport, droits sociaux;Lille
Les Déménageurs Bretons;Déménagement, Stockage, Logement;Sur rendez-vous;Expert du déménagement longue distance avec solution de stockage temporaire sécurisé. Tarifs négociés pour militaires;Brest
ANTS Express;Administratif, Passeport, Carte grise;24/7 en ligne;Plateforme officielle pour démarches administratives avec procédure accélérée disponible pour missions urgentes;Paris
SOS Plombier 24h;Travaux, Plomberie, Urgence;24/7;Intervention plomberie sous 1h en Île-de-France. Partenaire de plusieurs bases militaires pour dépannages urgents;Paris
Académia Soutien Scolaire;Famille, Éducation, Scolarité;Sur rendez-vous;Cours particuliers à domicile avec professeurs expérimentés. Programme adapté aux enfants en mobilité fréquente;Paris
Crédit Mutuel Armées;Banque, Prêts, Épargne;Semaine uniquement;Banque coopérative dédiée aux militaires. Produits d'épargne avantageux et conseil patrimonial personnalisé;Lyon
Auto École Militaire Plus;Formation, Permis, Véhicule;Semaine et samedi;Formation permis B et PL avec financement CPF. Stages accélérés disponibles. Partenariat avec OPCO de la Défense;Toulouse
Psychologue Marine Dubois;Soutien psychologique, Famille, Santé;Sur rendez-vous;Psychologue spécialisée EMDR et problématiques militaires. Suivi stress post-traumatique et adaptation familiale aux mutations;Marseille
Autocaz Location;Véhicule, Location, Urgence;24/7;Location de véhicules avec prise en charge sous 2h. Tarifs préférentiels pour militaires. Livraison possible sur base;Paris
Crèche Les Petits Soldats;Famille, Garde enfants, Urgence;Semaine uniquement;Crèche privée avec places réservées pour familles militaires. Accueil dès 6h du matin. Agrément PMI;Bordeaux
GAN Prévoyance Fonctionnaires;Assurance, Prévoyance, Épargne;Semaine uniquement;Assurance prévoyance avec garanties renforcées pour personnel militaire. Couverture décès, invalidité et rente éducation;Bordeaux
Interim Défense Services;Emploi, Reconversion, Formation;Semaine uniquement;Agence intérim spécialisée dans l'emploi des conjoints de militaires. Missions compatibles avec mobilité géographique;Toulon
Century 21 Mobilité Militaire;Logement, Achat, Vente;Sur rendez-vous;Agence immobilière spécialisée mutation militaire. Accompagnement achat-vente simultané et connaissance du dispositif aide logement Défense;Marseille
Garage Rapid'Auto;Véhicule, Réparation, Contrôle technique;Semaine et samedi;Garage multimarques avec intervention rapide. Contrôle technique sans RDV. Véhicule de prêt gratuit;Lille
Électricien Pro Urgence;Travaux, Électricité, Urgence;24/7;Électricien certifié intervention sous 3h. Mise en conformité électrique et dépannage. Devis gratuit;Lyon
Dentiste Cabinet Urgences Paris;Santé, Urgence, Dentaire;Semaine et samedi;Cabinet dentaire acceptant les urgences sans RDV. Conventionné secteur 1. Ouvert samedi matin;Paris
Constructions Maison Tradition;Travaux, Construction, Retraite;Sur rendez-vous;Constructeur maisons individuelles avec garanties décennales. Spécialiste projet retraite militaires. Accompagnement financement;Vendée
Optic 2000 Express;Santé, Ophtalmologie, Urgence;Semaine uniquement;Opticien avec service express 24h et ophtalmologiste partenaire pour RDV rapides. Tiers payant mutuelle militaire;Paris
Foncia Logement Défense;Logement, Location, Gestion;Semaine uniquement;Agence immobilière avec parc de logements meublés disponibles immédiatement. Bail mobilité et garantie Visale acceptée;Lyon
Self Stockage Securis;Logement, Stockage, Déménagement;24/7 accès;Garde-meubles sécurisés avec accès 24h/24. Tarif dégressif longue durée pour opex. Assurance tous risques incluse;Toulon
Pôle Emploi Défense Mobilité;Emploi, Formation, Reconversion;Semaine uniquement;Conseiller Pôle Emploi dédié aux militaires en reconversion. Ateliers CV, entretiens et financement formations;Paris
