Categorie_Majeure;Sous_Categorie;Message_Utilisateur;Niveau_Urgence;Ville_Detectee;Date_Detectee;Horizon_Temporel_Normalise;Jours_Estimation;Urgence_Deduite;Contrainte_Ville;Contrainte_Disponibilite;Impact_Geo
Logement et Installation;Location meublée;Affectation surprise sur Montpellier dans 2 semaines, recherche studio meublé proche base militaire pour 6 mois minimum;Court terme;Montpellier;2026-02-05;SHORT_TERM;14.0;SHORT_TERM;PREFERRED;RAPIDE;1
Véhicule;Achat véhicule;Suite à mon arrivée à Clermont-Ferrand, je cherche une voiture économique pour trajets quotidiens vers la caserne;Standard;;;STANDARD;;STANDARD;NATIONAL;SEMAINE;1
Famille;Scolarité;Installation à Angers prévue en janvier, besoin d'informations sur les collèges publics pour mes deux filles de 13 et 15 ans;Planifié;Angers;2026-01-15;PLANNED;-8.0;PLANNED;PREFERRED;ALL;1
Banque et financement;Crédit consommation;Je veux acheter du mobilier pour mon nouvel appartement à Lyon, recherche un crédit avec taux préférentiel militaire;Standard;Lyon;;STANDARD;;STANDARD;PREFERRED;SEMAINE;0
Besoins de dernière minute;Garde d'enfant;Convocation inattendue demain toute la journée à Versailles, besoin d'une nounou pour mes jumeaux de 4 ans en urgence;Immédiat;Versailles;2026-01-23;IMMEDIATE;0.0;IMMEDIATE;PREFERRED;24/7;2
Administratif;Permis de conduire;J'ai perdu mon permis à Grenoble et je dois le refaire rapidement pour mes déplacements professionnels quotidiens;Court terme;Grenoble;;SHORT_TERM;7.0;SHORT_TERM;PREFERRED;RAPIDE;1
Santé;Médecin généraliste;Nouvelle installation à Perpignan, recherche un médecin traitant disponible rapidement pour suivi régulier et renouvellement ordonnances;Standard;;;SHORT_TERM;7.0;STANDARD;NATIONAL;RAPIDE;1
Emploi;Formation conjoint;Ma conjointe souhaite se former aux métiers du numérique suite à notre mutation à Strasbourg, recherche organismes de formation;Planifié;Strasbourg;;PLANNED;;PLANNED;PREFERRED;ALL;1
Logement et Installation;Aménagement;Emménagement à Orléans la semaine prochaine, besoin d'aide pour montage meubles et petits travaux d'installation;Court terme;Orléans;;SHORT_TERM;15.0;SHORT_TERM;PREFERRED;RAPIDE;1
Besoins de dernière minute;Serrurier;Porte claquée avec clés à l'intérieur à Dijon, je dois partir en déplacement ce soir, intervention urgente nécessaire;Immédiat;Dijon;2026-01-22;IMMEDIATE;0.0;IMMEDIATE;PREFERRED;24/7;2
Assurance;Responsabilité civile;Suite à des dégâts causés par mes enfants chez le voisin à Caen, besoin conseil assurance pour couvrir ce type de situations;Standard;Caen;;STANDARD;;STANDARD;PREFERRED;SEMAINE;0
Travaux;Chauffage;Mon système de chauffage ne fonctionne plus à Rouen en plein hiver, besoin intervention rapide d'un chauffagiste qualifié;Immédiat;Rouen;;PLANNED;90.0;IMMEDIATE;PREFERRED;24/7;2
Formation;Certification professionnelle;Dans 8 mois je quitte l'armée à Poitiers, je veux obtenir une certification en gestion de projet pour ma reconversion;Planifié;;2026-09-19;PLANNED;240.0;PLANNED;NATIONAL;ALL;0
Soutien psychologique;Thérapie de couple;Tensions conjugales dues aux mutations répétées, besoin thérapeute spécialisé couples militaires sur Avignon;Standard;Avignon;;STANDARD;;STANDARD;PREFERRED;SEMAINE;0
Véhicule;Assurance auto;Je viens d'acheter un véhicule à Amiens, recherche assurance tous risques avec garantie déplacement professionnel;Court terme;;;SHORT_TERM;;SHORT_TERM;NATIONAL;RAPIDE;0
Retraite;Calcul droits;Je pars en retraite dans 2 ans à Limoges, besoin accompagnement pour calculer mes droits et optimiser ma pension;Planifié;;;PLANNED;90.0;PLANNED;NATIONAL;ALL;0
