Categorie_Majeure;Sous_Categorie;Message_Utilisateur;Niveau_Urgence
Besoins de dernière minute;Garde d'enfant;Je pars en mission imprévue demain matin, besoin d'une solution de garde à Paris pour mes 2 enfants (3 et 5 ans) dès 6h;Immédiat
Logement et Installation;Location meublée;Mutation d'ici 3 semaines sur Lyon, je cherche une location meublée à Lyon pour 1 mois le temps de trouver quelque chose de permanent;Court terme
Véhicule;Réparation urgente;Ma voiture est tombée en panne et je dois rejoindre mon unité à Bourges demain. Besoin d'un dépannage rapide à Bourges;Immédiat
Famille;Scolarité;Mutation prévue en septembre à Toulon, je cherche des informations sur les écoles militaires pour mon fils de 12 ans;Planifié
Banque et financement;Prêt immobilier;Nous souhaitons acheter notre résidence principale à Marseille avant ma prochaine affectation. Recherche prêt avantageux pour fonctionnaires;Standard
Besoins de dernière minute;Électroménager;Ma machine à laver vient de tomber en panne à Paris et je pars en opex dans 48h. Besoin d'une réparation ou remplacement urgent;Immédiat
Administratif;Carte grise;Je viens d'acheter un véhicule et je dois faire la carte grise rapidement à Lille pour mes déplacements professionnels;Court terme
Santé;Mutuelle santé;Suite à ma mutation à Bordeaux, je dois changer de mutuelle. Recherche une offre adaptée aux militaires;Standard
Emploi;Recherche emploi conjoint;Mon conjoint cherche un emploi dans la région de Toulon suite à ma mutation. Secteur administration ou commerce;Standard
Logement et Installation;Déménagement;Mutation programmée pour le 15 mars de Strasbourg vers Marseille. Besoin d'un déménageur spécialisé pour biens fragiles;Planifié
Besoins de dernière minute;Transport express;Dois récupérer des documents administratifs urgents à Paris et les ramener à mon unité à Toulouse aujourd'hui;Immédiat
Assurance;Assurance habitation;Je viens de louer un appartement à Rennes suite à ma mutation. Besoin d'une assurance habitation avec clause spéciale mobilité;Court terme
Travaux;Mise en conformité logement;Mon propriétaire à Lyon exige des travaux électriques avant mon départ. Besoin d'un électricien certifié rapidement;Court terme
Formation;Reconversion professionnelle;Je quitte l'armée dans 6 mois à Paris et souhaite me reconvertir dans la cybersécurité. Recherche formations éligibles CPF;Planifié
Soutien psychologique;Accompagnement familial;Ma famille à Marseille a du mal à s'adapter à notre dernière mutation. Recherche un psychologue spécialisé dans les problématiques militaires;Standard
Véhicule;Achat véhicule;Je cherche à acheter un véhicule d'occasion fiable à Bordeaux pour mes trajets domicile-caserne (50km quotidiens);Standard
Retraite;Préparation retraite;Je pars à la retraite dans 18 mois à Nice et souhaite préparer ma reconversion et mes démarches administratives;Planifié
Logement et Installation;Stockage temporaire;Départ en opex pour 4 mois depuis Toulon, besoin de stocker mes meubles en attendant ma prochaine affectation;Court terme
Famille;Aide aux devoirs;Mes enfants à Paris ont pris du retard scolaire avec nos mutations fréquentes. Recherche soutien scolaire à domicile;Standard
Banque et financement;Regroupement crédits;Je souhaite regrouper mes crédits à Lyon pour alléger mes mensualités suite à une baisse de revenus;Standard
Administratif;Titre de séjour conjoint;Mon conjoint étranger a besoin de renouveler son titre de séjour suite à notre mutation à Metz;Court terme
Besoins de dernière minute;Plomberie urgente;Fuite d'eau importante dans mon logement à Paris et je pars en exercice demain pour 2 semaines;Immédiat
Santé;Dentiste d'urgence;Rage de dent insupportable à Paris et je dois partir en mission dans 3 jours. Besoin d'un rendez-vous rapide;Immédiat
Emploi;Aide à la création entreprise;Je souhaite créer mon entreprise de consulting après ma carrière militaire à Marseille. Besoin d'accompagnement;Planifié
Véhicule;Contrôle technique;Mon CT expire dans 10 jours à Lille et je suis en déplacement. Besoin d'un centre qui prend RDV rapidement;Court terme
Assurance;Assurance auto jeune conducteur;Mon fils de 18 ans vient d'avoir son permis à Lyon. Recherche assurance adaptée avec tarif raisonnable;Standard
Logement et Installation;Recherche logement social;Famille de 4 personnes, mutation sur Paris. Recherche logement social adapté avec priorité militaire;Planifié
Travaux;Rénovation avant vente;Je vends mon bien à Marseille avant mutation. Besoin de travaux de rafraîchissement (peinture, sols);Standard
Formation;Permis poids lourd;Je souhaite passer mon permis PL à Toulouse pour élargir mes compétences. Recherche auto-école avec financement OPCO;Planifié
